Id,Classification,title,Tags,Score,ViewCount,AnswerCount,CommentCount,CreationDate,LastActivityDate
47543747,Data processing,How to convert a dataframe of array of doubles to Vectors?,<scala><apache-spark>,1,926,1,1,2017-11-29 01:46,2017-11-29 02:11
23191363,Data processing,spark join operation based on two columns,<scala><apache-spark>,1,8889,3,0,2014-04-21 05:28,2016-06-17 21:51
36706512,Configuration,How do you automate pyspark jobs on emr using boto3 (or otherwise)?,<python><amazon-s3><apache-spark><pyspark><amazon-emr>,10,8881,3,1,2016-04-19 00:33,2018-09-16 18:57
26832980,Configuration,calling spark-ec2 from within an EC2 instance: ssh connection to host refused,<ssh><amazon-ec2><apache-spark>,6,1752,1,0,2014-11-09 20:31,2014-11-10 03:06
40666954,Data processing,Combining/joining rows of IDs in spark,<scala><apache-spark><functional-programming>,4,316,4,1,2016-11-17 23:33,2016-11-19 08:56
51328497,Configuration,Retrieve data from Azure HDInsight with PySpark,<azure><apache-spark><pyspark><azure-sql-database><azure-dsvm>,1,414,1,0,2018-07-13 15:32,2018-07-24 13:30
36350040,Spark API Usage,Flume+Spark - Storing DStream in HDFS,<apache-spark><spark-streaming><flume>,2,331,1,0,2016-04-01 07:05,2016-04-01 07:33
38664972,Spark API Usage,"Why is ""Unable to find encoder for type stored in a Dataset"" when creating a dataset of custom case class?",<scala><apache-spark><apache-spark-dataset><apache-spark-encoders>,53,47540,3,0,2016-07-29 18:04,2019-02-08 22:17
35990846,Data Sources,SPARK read.json throwing java.io.IOException: Too many bytes before newline,<json><apache-spark><pyspark><spark-dataframe><bigdata>,3,1569,2,3,2016-03-14 14:54,2019-04-08 14:57
41177401,Configuration,Sparkling Water: out of memory when converting spark dataframe to H2o dataframe,<apache-spark><spark-dataframe><h2o><sparkling-water>,1,279,1,0,2016-12-16 04:43,2016-12-20 19:28
39224197,Data processing,Scala : Map and Flatmap on RDD,<scala><apache-spark>,2,459,1,11,2016-08-30 09:49,2016-08-31 14:22
39145246,Configuration,Spark 2.0 Cassandra Scala Shell Error: java.lang.NoClassDefFoundError: scala/collection/GenTraversableOnce$class,<apache-spark><cassandra><spark-cassandra-connector>,1,3640,2,4,2016-08-25 12:23,2016-08-27 11:58
42776610,Data processing,From Pandas groupBy to PySpark groupBy,<pandas><apache-spark><pyspark>,4,2389,1,0,2017-03-14 02:08,2017-03-14 05:31
56091155,Data processing,Grouping in Apache Spark dataframe,<apache-spark><apache-spark-sql>,1,64,1,0,2019-05-11 14:17,2019-05-11 17:27
36056895,Spark API Usage,reduce() vs. fold() in Apache Spark,<scala><apache-spark><rdd><reduce><fold>,5,5933,1,8,2016-03-17 09:48,2016-12-23 18:18
29997735,Other,Spark SQL Stackoverflow,<apache-spark><apache-spark-sql>,11,2687,1,6,2015-05-02 02:31,2015-05-06 06:36
44135610,Data processing,Spark Scala Split dataframe into equal number of rows,<scala><apache-spark><dataframe>,7,4920,3,5,2017-05-23 12:59,2019-10-01 19:35
39502572,Data processing,SPARK-5063 RDD transformations and actions can only be invoked by the driver,<scala><apache-spark><dataframe><rdd>,1,3287,1,1,2016-09-15 03:12,2018-10-27 09:10
43817493,Data Sources,Reading Nested JSON via Spark SQL - [AnalysisException] cannot resolve Column,<json><scala><apache-spark><apache-spark-sql>,3,3024,2,0,2017-05-06 06:32,2019-01-11 11:50
38726653,Data Sources,HiveContext is not reading schema of an Orcfile,<scala><apache-spark><hive><orc><hortonworks-sandbox>,3,1658,2,7,2016-08-02 17:12,2018-12-27 13:25
31280355,Other,spark test on local machine,<scala><unit-testing><apache-spark>,3,1082,2,0,2015-07-07 22:20,2016-02-18 10:29
45091429,Data processing,how to find a line in a text with specific term in spark scala,<scala><apache-spark-MLlib><lda>,1,3426,2,0,2017-07-13 21:45,2018-12-14 12:35
44168379,Data processing,How to check for intersection of two DataFrame columns in Spark,<apache-spark><pyspark><sparkr>,3,9151,1,1,2017-05-24 21:00,2018-09-27 12:51
39302912,Spark API Usage,Not Serialization exception when reading Kafka records with Spark Streaming,<apache-spark><apache-kafka><spark-streaming>,5,2319,1,0,2016-09-03 03:18,2016-10-31 23:23
48362994,Data Sources,how to use nextval() in a postgres jdbc driver for pyspark?,<sql><postgresql><apache-spark><jdbc><pyspark>,2,538,1,0,2018-01-21 02:02,2018-01-21 10:44
44187987,Configuration,Not able to write Data in Parquet File using Spark Structured Streaming,<scala><apache-spark><spark-structured-streaming>,3,2428,2,0,2017-05-25 19:02,2018-10-27 12:50
56203473,Data processing,How to remove quotes from front and end of the string Scala,<regex><string><scala><apache-spark><trim>,2,156,3,5,2019-05-18 22:56,2019-05-19 14:46
42219747,Configuration,Spark cassandra connector doesn't work in Standalone Spark cluster,<scala><apache-spark><cassandra><spark-cassandra-connector>,3,495,1,0,2017-02-14 06:56,2017-02-17 23:56
55570316,Data processing,Does Scala intelligently terminate calculating OR expressions for fold operations?,<scala><apache-spark><collections><monads>,2,45,2,1,2019-04-08 09:33,2019-04-08 14:27
49442206,Other,Apache Spark: Issues with Extracting Values from Row,<scala><apache-spark><apache-spark-sql><spark-dataframe><apache-spark-dataset>,1,998,1,0,2018-03-23 04:06,2018-03-23 05:03
31212962,Data processing,How to add line number into each line?,<scala><text><apache-spark>,3,5827,2,1,2015-07-03 19:10,2015-07-03 20:01
43288924,Data processing,Spark SQL rlike to find all strings with trailing numbers,<sql><regex><apache-spark><apache-spark-sql><pyspark-sql>,1,1123,1,0,2017-04-08 00:34,2019-01-11 13:04
52588559,Configuration,Spark Cannot assign requested address: Service Driver failed after 16 retries,<java><apache-spark>,2,794,1,0,2018-10-01 09:53,2018-10-12 13:44
57626587,Configuration,Spark drive K8S cluster from IntelliJ IDEA without building JARs,<apache-spark><kubernetes>,3,43,1,0,2019-08-23 12:43,2019-08-23 15:01
51440162,Data processing,Adding name of file when using sparklyr::spark_read_json,<r><apache-spark><dplyr><sparklyr>,2,98,1,0,2018-07-20 10:08,2018-07-21 00:05
34529393,Data processing,How do I group Cassandra rows in Scala,<scala><apache-spark><cassandra><apache-spark-sql>,1,301,1,0,2015-12-30 12:16,2015-12-30 13:09
57386739,Data Sources,How to read files written by Spark with pandas?,<python><pandas><apache-spark><parquet>,1,67,2,1,2019-08-07 03:55,2019-08-08 11:25
37113997,Spark API Usage,Spark 1.5 MLlib LDA - getting topic distribusions for new documents,<scala><apache-spark><apache-spark-MLlib><lda>,2,625,1,0,2016-05-09 10:55,2016-06-02 14:14
37058016,Data processing,Spark Scala: DateDiff of two columns by hour or minute,<scala><apache-spark>,13,17822,2,0,2016-05-05 18:45,2017-03-13 13:20
28743313,Spark API Usage,Extract kmeans cluster information using Apache Spark,<scala><apache-spark>,2,2012,2,1,2015-02-26 13:07,2015-09-15 19:49
47052969,Data processing,Joining two data frames and storing in new data frame,<apache-spark><pyspark><apache-spark-sql><spark-dataframe><pyspark-sql>,1,130,1,2,2017-11-01 10:39,2017-11-01 16:17
49294843,Data processing,How to set naming strategy using Spark DataFrames and Cassandra,<scala><apache-spark><cassandra><spark-dataframe>,1,189,1,0,2018-03-15 08:44,2018-03-15 15:01
33221713,Performance and Logging,Is groupByKey ever preferred over reduceByKey,<apache-spark><rdd>,14,11744,3,3,2015-10-19 18:49,2018-09-02 21:13
32727964,Performance and Logging,Spark: Generate Map Word to List of Similar Words - Need Better Performance,<python><dictionary><apache-spark><pyspark>,1,254,1,3,2015-09-22 22:23,2015-09-25 20:26
46152202,Configuration,"Spark doesn't read/write information from s3 (ResponseCode=400, ResponseMessage=Bad Request)",<java><hadoop><apache-spark><amazon-s3>,3,758,1,0,2017-09-11 09:21,2017-09-15 07:29
41785737,Data processing,How convert JavaRDD<Row> to JavaRDD<List<String>>?,<java><list><apache-spark>,1,1747,1,0,2017-01-21 23:35,2017-01-22 00:13
57408388,Other,Where to find errors when writing to BigQuery from Dataproc?,<apache-spark><google-cloud-platform><google-bigquery><google-cloud-dataproc>,1,61,1,2,2019-08-08 08:33,2019-08-10 00:20
35146665,Spark API Usage,Is there a variable to identify each batch data in spark streaming?,<apache-spark><spark-streaming>,3,1816,1,0,2016-02-02 06:37,2016-02-02 09:34
45835524,Spark API Usage,How to vectorize json data for KMeans?,<apache-spark><scikit-learn><pyspark><k-means>,2,546,1,3,2017-08-23 09:16,2017-08-23 20:10
37624090,Data processing,Pyspark Inferring Timezone by location,<apache-spark><pyspark><timezone>,3,135,3,0,2018-05-10 07:03,2018-07-27 09:28
31278110,Data processing,How do I register a function to sqlContext UDF in scala?,<scala><apache-spark><apache-spark-sql>,5,5620,1,0,2015-07-07 19:54,2015-07-07 21:42
30703678,Data Sources,how to create a keyspace in cassandra?,<java><eclipse><cassandra><apache-spark>,2,3193,3,0,2015-06-08 07:46,2018-06-26 04:20
39962792,Data processing,Adding StringType column to existing Spark DataFrame and then applying default values,<scala><apache-spark><dataframe><apache-spark-sql>,5,10026,1,0,2016-10-10 16:33,2019-01-06 13:15
44270341,Configuration,Spark Execution Error: Python in worker has different Version,<apache-spark><pyspark><anaconda>,1,1522,1,5,2017-05-30 19:23,2017-06-06 20:38
29750325,Data processing,RDD filter in scala spark,<scala><apache-spark>,8,20531,1,2,2015-04-20 14:13,2018-10-04 11:32
44178191,Data processing,How to add new field to struct column?,<scala><apache-spark><apache-spark-sql>,6,3934,2,0,2017-05-25 10:27,2018-12-12 06:11
52035345,Data processing,confused with spark groupBy,<apache-spark>,1,114,1,4,2018-08-27 08:27,2018-08-27 09:11
38981425,Spark API Usage,Issue with VectorUDT when using Spark ML,<scala><apache-spark><spark-dataframe><apache-spark-ml>,7,3873,1,0,2016-08-16 17:53,2016-08-22 16:07
30416142,Data processing,How to find five first maximum indices of each column in a matrix?,<scala><matrix><apache-spark>,2,721,1,3,2015-05-23 18:22,2015-05-24 15:14
51036010,Data processing,Convert Array into dataframe with columns and index in Scala,<scala><apache-spark-sql>,2,7492,2,3,2018-06-26 06:14,2018-06-27 07:16
38403062,Data Sources,PySpark createExternalTable() from SQLContext,<apache-spark><pyspark><pyspark-sql>,1,1040,1,2,2016-07-15 18:38,2016-07-15 19:58
38761994,Data Sources,How to insert TimeUUID and TimeStamp with Spark Cassandra connector?,<java><apache-spark><cassandra>,2,1154,1,0,2016-08-04 08:16,2016-08-04 09:08
45092445,Spark API Usage,How to display a streaming DataFrame (as show fails with AnalysisException)?,<apache-spark><pyspark><apache-kafka><spark-structured-streaming>,3,3625,1,0,2017-07-13 23:34,2018-10-27 13:02
36545579,Data Sources,Spark : How to use mapPartition and create/close connection per partition,<scala><apache-spark><rdd>,8,6124,2,0,2016-04-11 10:04,2017-01-17 11:00
40181617,Data processing,"Getting int() argument must be a string or a number, not 'Column'- Apache Spark",<python><apache-spark><pyspark>,3,657,1,0,2016-10-21 16:37,2016-10-21 16:49
56527559,Spark API Usage,Spark job fails while filtering kafka messages,<scala><apache-spark><apache-kafka>,3,53,1,0,2019-06-10 13:38,2019-06-10 15:57
42837047,Data processing,"How to join a DataFrame with itself, and aggregate",<scala><apache-spark><apache-spark-sql>,2,1431,1,0,2017-03-16 14:34,2019-01-11 13:06
38618460,Configuration,"how to properly build spark 2.0 from source, to include pyspark?",<apache-spark><pyspark>,3,1902,1,0,2016-07-27 16:23,2016-07-27 16:47
50330514,Data processing,.withColumn is not giving original columns of the dataframe but only the newly added column,<apache-spark><apache-spark-sql>,1,60,1,2,2018-05-14 12:36,2018-05-14 13:04
55628005,Performance and Logging,Write the results of the Google Api to a data lake with Databricks,<python><apache-spark><azure-data-lake><databricks><google-api-python-client>,1,187,1,0,2019-04-11 08:30,2019-04-11 15:46
55666759,Data processing,Modified countByKey in spark,<scala><apache-spark><apache-spark-sql>,2,155,3,0,2019-04-13 14:50,2019-04-13 21:30
45607805,Performance and Logging,Spark: break partition iterator for better memory management?,<scala><apache-spark>,3,344,1,2,2017-08-10 08:02,2017-08-10 10:06
33293365,Data processing,Convert String to Double in Scala / Spark?,<scala><apache-spark><apache-spark-MLlib>,1,9145,2,0,2015-10-23 01:16,2018-11-19 23:15
52906253,Data processing,Pyspark Convert Column of Lists to Nested Structure Column,<python><apache-spark><pyspark><apache-spark-sql><user-defined-functions>,1,754,1,0,2018-10-20 13:36,2018-10-20 18:53
49538717,Data processing,number of unique values sparklyr,<r><apache-spark><dplyr><apache-spark-sql><sparklyr>,2,2134,1,10,2018-03-28 15:39,2018-04-19 21:19
43349932,Data processing,How to flatten long dataset to wide format (pivot) with no join?,<apache-spark><pyspark><pyspark-sql>,1,134,1,1,2017-04-11 15:15,2018-11-15 13:51
45105695,Data processing,Subtracting DataFrames by a single ID column - duplicate columns behave differently,<apache-spark><apache-spark-sql>,1,317,2,0,2017-07-14 14:39,2019-05-31 04:56
53468193,Spark API Usage,Spark SVD is not reproducible,<apache-spark><apache-spark-MLlib><apache-spark-ml><svd><non-deterministic>,1,97,1,2,2018-11-25 13:55,2018-11-27 21:42
50406950,Data processing,Consuming RESTful API and converting to Dataframe in Apache Spark,<scala><rest><apache-spark><dataframe>,1,1257,1,0,2018-05-18 08:26,2018-05-18 09:50
24242060,Configuration,How to change memory per node for apache spark worker,<memory><cluster-computing><config><apache-spark>,33,29169,5,1,2014-06-16 10:53,2016-03-10 17:53
35836526,Spark API Usage,Twitter Streaming Spark : how many filter keywords can i have with a streaming context?,<twitter><apache-spark><spark-streaming>,1,355,2,1,2016-03-07 05:04,2016-03-15 23:54
31305547,Spark API Usage,Overloaded method value createDirectStream in error Spark Streaming,<scala><apache-spark><spark-streaming>,2,2322,1,0,2015-07-08 23:24,2015-07-09 00:56
48750303,Data processing,Does spark not check UDF / Column type?,<scala><apache-spark>,2,369,1,0,2018-02-12 15:48,2018-02-12 18:10
49355077,Data processing,how to convert a timestamp into string (without changing timezone)?,<r><apache-spark><hive><timestamp><sparklyr>,3,459,3,8,2018-03-19 02:41,2018-03-30 01:19
44057729,Data processing,How to reduce rows to their frequencies?,<apache-spark><pyspark><apache-spark-sql>,1,323,1,0,2017-05-18 21:03,2017-05-19 08:13
41404041,Data processing,Find median in spark SQL for multiple double datatype columns,<apache-spark><apache-spark-sql><hive-udf>,6,2959,1,0,2016-12-30 23:38,2017-01-02 17:00
40682101,Spark API Usage,How to access cached data in Spark Streaming application?,<apache-spark><spark-streaming>,5,671,2,0,2016-11-18 16:41,2016-11-19 16:11
32148208,Data processing,How to compare multiple rows?,<scala><apache-spark><spark-streaming><apache-spark-sql>,5,2890,1,0,2015-08-21 19:46,2017-08-22 08:16
43614220,Data processing,Sparklyr: how to center a Spark table based on column?,<r><apache-spark><dplyr><sparkr><sparklyr>,1,719,1,0,2017-04-25 14:56,2019-01-26 11:02
57128082,Configuration,"How to deal with ""OverflowError: size does not fit in an int"" error?",<python><scala><apache-spark><pyspark><apache-spark-sql>,2,64,1,1,2019-07-20 19:51,2019-07-20 21:25
49959309,Data processing,Spark - create list of words from text file and the word that comes immediately after it,<scala><apache-spark><rdd>,1,342,1,1,2018-04-21 19:06,2018-04-21 19:35
40938478,Spark API Usage,Get wrong recommendation with ALS.recommendation,<apache-spark><machine-learning><apache-spark-MLlib><recommendation-engine><collaborative-filtering>,5,523,1,0,2016-12-02 18:09,2016-12-06 10:29
31204805,Spark API Usage,Databricks Apache Spark 1.4: Task not Serialization (Scala),<scala><serialization><apache-spark>,1,970,1,2,2015-07-03 10:40,2015-07-03 11:28
52150041,Configuration,Cannot use timestamps on index/update requests in ES 6.x and above. Please remove the [es.mapping.timestamp] setting,<apache-spark><elasticsearch><spark-structured-streaming>,1,70,1,0,2018-09-03 12:44,2018-09-04 04:54
28048586,Data processing,Warning while using RDD in for comprehension,<scala><apache-spark><for-comprehension><rdd>,6,1697,2,0,2015-01-20 15:03,2017-09-25 21:13
43506662,Data processing,Spark-SQL Joining two dataframes/ datasets with same column name,<java><apache-spark><apache-spark-sql><apache-spark-dataset>,4,3737,2,0,2017-04-19 21:48,2017-04-20 04:33
43569738,Data processing,Can I recursively apply transformations to a Spark dataframe in scala?,<scala><apache-spark><apache-spark-sql>,1,1487,2,0,2017-04-23 10:04,2018-05-14 18:48
39395182,Data processing,SparkR gapply - function returns a multi-row R dataframe,<r><apache-spark><sparkr><gapply>,2,799,1,0,2016-09-08 15:42,2018-03-29 10:12
51597876,Spark API Usage,Spark Kafka Task not Serialization,<apache-spark><apache-kafka>,1,193,2,0,2018-07-30 15:55,2018-08-10 13:13
57035262,Spark API Usage,checkpointing / persisting / shuffling does not seem to 'short circuit' the lineage of an rdd as detailed in 'learning spark' book,<scala><apache-spark><rdd><data-lineage><spark-checkpoint>,2,42,1,2,2019-07-15 07:41,2019-07-15 11:49
46296442,Spark API Usage,How to declare an empty dataset in Spark?,<scala><apache-spark><apache-spark-sql>,5,10224,2,4,2017-09-19 09:15,2017-09-19 09:40
29504762,Data processing,Performing sum on a rdd int array,<apache-spark>,4,10315,2,0,2015-04-08 02:18,2017-02-11 20:17
52164488,Data Sources,Spark hive udf: no handler for UDAF analysis exception,<scala><apache-spark><hive><pyspark><spark-hive>,1,914,1,4,2018-09-04 10:45,2018-09-04 17:12
39901732,Data processing,How can I extract multi-line record from a text file with Spark,<scala><apache-spark>,2,271,1,0,2016-10-06 16:58,2019-03-25 02:43
45489248,Configuration,Running Spark driver program in Docker container - no connection back from executor to the driver?,<docker><apache-spark><mesos><apache-spark-standalone>,4,3710,3,0,2017-08-03 15:57,2019-09-24 21:02
25643872,Configuration,Parsing json in spark-streaming,<json><scala><apache-spark><spark-streaming>,9,9301,2,2,2014-09-03 12:06,2014-09-03 12:22
47365396,Data processing,Change a pyspark column based on the value of another column,<pyspark><apache-spark-sql><spark-dataframe><pyspark-sql>,1,4318,2,0,2017-11-18 11:15,2017-11-18 12:24
56853255,Data processing,columns value in order,<pyspark><apache-spark-sql>,1,64,1,2,2019-07-02 13:10,2019-07-16 17:53
42815023,Configuration,Getting java.lang.ClassNotFoundException while running Spark Application,<scala><hadoop><apache-spark><classnotfoundexception><phoenix>,1,1615,2,2,2017-03-15 16:06,2018-09-13 21:45
30162845,Configuration,Spark: java.io.IOException: No space left on device,<apache-spark><rdd>,6,8974,2,4,2015-05-11 08:26,2018-04-15 07:35
34287069,Data processing,How to reformat the Spark Python Output,<python><apache-spark>,4,597,2,3,2015-12-15 10:43,2016-01-22 14:07
30244880,Spark API Usage,Apache Spark broadcast variables are not reused,<apache-spark>,3,1569,1,0,2015-05-14 18:40,2015-05-22 18:39
38145515,Configuration,Unable to import org.apache.spark.streaming.twitter in Spark Scala,<scala><twitter><apache-spark><streaming>,3,3774,2,0,2016-07-01 12:30,2018-07-23 07:21
41944063,Configuration,Saving parquet file in Spark giving error,<apache-spark><spark-dataframe><kerberos><cloudera-cdh><parquet>,1,715,1,2,2017-01-30 19:36,2017-02-15 16:13
34670957,Spark API Usage,On Spark's rdd.map(_.swap),<scala><apache-spark>,3,5217,4,0,2016-01-08 06:42,2019-03-05 04:33
40892459,Data processing,Spark: Transpose DataFrame Without Aggregating,<scala><apache-spark>,8,9941,2,0,2016-11-30 15:44,2019-04-09 17:48
39777648,Data processing,Inferring Spark DataType from string literals,<scala><apache-spark><types><spark-dataframe><introspection>,8,4073,4,2,2016-09-29 18:36,2019-07-25 09:58
42506801,Spark API Usage,How to use from_json with Kafka connect 0.10 and Spark Structured Streaming?,<scala><apache-spark><apache-kafka><apache-kafka-connect><spark-structured-streaming>,10,6403,1,0,2017-02-28 10:54,2019-09-17 16:39
43518342,Configuration,Why does Spark job fail while executing multiple Hive scripts using spark-sql in parallel?,<hql><apache-spark-sql><emr>,1,503,2,0,2017-04-20 11:31,2017-04-20 16:43
36949406,Spark API Usage,Spark job execution time,<apache-spark><apache-spark-MLlib><apache-spark-1.5>,7,9095,2,0,2016-04-30 00:28,2016-10-14 07:03
30709729,Spark API Usage,org.apache.spark.SparkException: Task not Serialization - JavaSparkContext,<java><serialization><apache-spark>,5,3500,3,4,2015-06-08 12:54,2017-09-02 18:53
31680392,Data processing,"Unique Combinations in a list of k,v tuples in Python",<python><list><lambda><apache-spark><tuples>,4,308,6,5,2015-07-28 15:12,2015-07-29 14:41
44949246,Spark API Usage,Can we able to use mulitple sparksessions to access two different Hive servers,<scala><apache-spark><hive><apache-spark-sql>,5,1751,2,0,2017-07-06 12:43,2017-08-18 13:15
39853227,Data processing,"Hive - Remove duplicates, keeping newest record - all of it",<hadoop><apache-spark><mapreduce><hive>,2,3231,1,2,2016-10-04 13:09,2016-10-04 20:17
34616842,Performance and Logging,KMeans|| for sentiment analysis on Spark,<scala><apache-spark><machine-learning><k-means><apache-spark-MLlib>,2,905,2,7,2016-01-05 16:43,2016-04-25 11:22
35480929,Configuration,Apache Mesos 0.27 fetcher Error: Address already in use:,<apache-spark><mesos><mesosphere>,1,704,2,1,2016-02-18 12:01,2016-02-26 07:51
36597022,Spark API Usage,Cassandra + Spark for Real time analytics,<apache-spark><cassandra><spark-streaming><spark-dataframe>,5,1376,2,1,2016-04-13 11:29,2016-04-26 16:22
56493242,Spark API Usage,RDD constructed from parsed case class: serialization fails,<scala><apache-spark><serialization><rdd>,1,21,1,2,2019-06-07 11:12,2019-06-07 15:11
48880934,Performance and Logging,Performance decrease for huge amount of columns. Pyspark,<python><pandas><apache-spark><machine-learning><pyspark>,10,1646,2,2,2018-02-20 08:39,2018-03-28 08:46
39950166,Data processing,Remove square brackets [] from Array in scala,<scala><apache-spark-sql><spark-cassandra-connector>,1,4208,3,7,2016-10-10 01:19,2017-08-28 08:22
33652013,Data processing,How to implement NOT IN for two DataFrames with different structure in Apache Spark,<java><sql><apache-spark><apache-spark-sql>,6,3988,2,0,2015-11-11 13:52,2016-07-12 22:00
47635510,Configuration,Strange spark ERROR on AWS EMR,<amazon-web-services><apache-spark><pyspark><amazon-emr>,23,4485,2,13,2017-12-04 14:26,2018-04-02 22:38
43455592,Data Sources,PySpark Value Error,<apache-spark><pyspark><apache-spark-sql>,2,1909,2,4,2017-04-17 16:42,2017-04-26 13:37
27959831,Performance and Logging,How does Spark read 100K images effeciently?,<image><machine-learning><apache-spark><distributed-computing>,2,1976,1,2,2015-01-15 08:59,2015-01-15 11:29
32848632,Data processing,Perform Set Difference on RDDs in Spark Python,<python><apache-spark><rdd><set-difference>,3,3262,1,0,2015-09-29 15:57,2015-09-29 19:53
54332942,Performance and Logging,spark windowing function VS group by performance issue,<apache-spark><apache-spark-sql>,1,1455,1,4,2019-01-23 17:49,2019-01-25 10:16
43253936,Data processing,Scala-Spark(version1.5.2) Dataframes split error,<scala><apache-spark><spark-dataframe>,4,294,2,5,2017-04-06 11:30,2017-04-14 13:53
38635905,Data Sources,Reading in multiple files compressed in tar.gz archive into Spark,<scala><apache-spark><gzip><rdd>,7,12829,2,4,2016-07-28 12:06,2017-01-22 12:40
55257202,Configuration,Typesafe config is not resolved in sbt assembly,<scala><apache-spark><sbt><sbt-assembly>,1,119,1,0,2019-03-20 09:15,2019-03-20 13:39
24585705,Spark API Usage,How to remove / dispose a broadcast variable from heap in Spark?,<scala><memory-management><apache-spark>,16,13521,2,0,2014-07-05 10:59,2015-12-11 15:10
40080045,Data Sources,How to work with DataSet in Spark using scala?,<scala><apache-spark><apache-spark-sql><scheduler>,2,1410,2,4,2016-10-17 06:47,2016-10-20 12:10
34135607,Data processing,"Sum values of JavaRDD (Tuple3<String, String, Double>)",<apache-spark><reduce><rdd>,1,2975,1,4,2015-12-07 14:11,2015-12-07 14:44
48949387,Configuration,Launch Spark-Submit with restful service in Python,<python><apache-spark><pyspark>,3,308,1,0,2018-02-23 13:52,2018-02-23 19:24
44914144,Configuration,ERROR SparkContext: Error initializing SparkContext. java.net.BindException: Cannot assign requested address: Service 'sparkDriver' failed,<scala><apache-spark>,10,14450,4,1,2017-07-04 21:22,2019-04-04 21:19
33883954,Performance and Logging,Keeping data together in spark based on cassandra table partition key,<apache-spark><cassandra><spark-cassandra-connector>,1,1049,1,0,2015-11-24 01:31,2015-12-04 18:38
38232504,Data processing,"Ungrouping, ""flatten"", a case class that is a composite of other case classes",<scala><apache-spark>,1,507,1,1,2016-07-06 19:44,2016-07-07 17:00
55650861,Other,Count operation resulting in more rack_local pyspark,<apache-spark><cluster-computing><yarn>,1,77,1,1,2019-04-12 11:42,2019-04-15 03:41
53541384,Data Sources,Pyspark create DataFrame from rows/data with varying columns,<python><json><apache-spark><pyspark><apache-spark-sql>,2,523,1,3,2018-11-29 14:35,2018-11-29 16:46
39944598,Data processing,Inserting Dataframe Data into RDD,<scala><apache-spark>,1,238,1,2,2016-10-09 14:18,2016-10-09 15:17
